HOSP_NAME,HOSP_TYPE,DISTRICT_NAME,SPECIALTY_NAME,HOSP_CONTACT_NO,HOSP_EMAIL_ID,HOSP_ADDRESS
PANDIT HARGOVIND PANT DISTRICT HOSPITAL ALMORA,Public,ALMORA,"Paediatric cancer (M4) ,Burns management (S11) ,Plastic & reconstructive (S10) ,Cardiology (S12) ,Radiation Oncology (M6) ,Paediatric medical management (M2) ,Interventional Neuroradiology (S9) ,Neurosurgery (S8) ,Medical Oncology (M5) ,,General Medicine (M1) ,Emergency Room Packages (Care requiring less than 12 hrs stay) (M7) ,Mental Disorders Packages (M8) ,Oral and Maxillofacial Surgery (S16) ,Paediatric surgery (S14) ,,Orthopaedics (S5) ,Surgical Oncology (S15) ,Opthalmology (S3) ,Otorhinolaryngology (S2) ,Urology (S7) ,Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9412962220,cmsdhalmora@gmail.com,Chowk Bazar Almora
Community Health Centre CHAUKHUTIA,Public,ALMORA,"Paediatric medical management (M2) ,,Obstetrics & Gynaecology (S4) ",7066673120,chcchaukhutia@gmail.com,CHC CHAUKHUTIA
 G T GOVT BASE HOSPITAL ALMORA,Public,ALMORA,"Paediatric medical management (M2) ,Paediatric cancer (M4) ,Medical Oncology (M5) ,Mental Disorders Packages (M8) ,Otorhinolaryngology (S2) ,General Surgery (S1) ,Opthalmology (S3) ,Orthopaedics (S5) ",9412315001,qmu.almora@gmail.com,"VILLAGE-KHATYARI, LOWER MALL ROAD"
V M J Female Hospital Almora,Public,ALMORA,,8923850731,cmswomengovhos@gmail.com,"V.M. J. Female Hospital,Almora"
chc dwarahat,Public,ALMORA,,8476840282,chcdwarahat@gmail.com,dwarahat
Govind Singh Mahara Government Hospital Ranikhet,Public,ALMORA,"Paediatric medical management (M2) ,Paediatric cancer (M4) ,General Surgery (S1) ,Obstetrics & Gynaecology (S4) ,Orthopaedics (S5) ,Opthalmology (S3) ",9627991089,gsmghranikhet@gmail.com,Sadar Bazar Ranikhet 
 CHC Bhikiyasen,Public,ALMORA,,9411485572,pppchcbhikiyasen@gmail.com,CHC Bhikiyasen
CHC DHAULADEVI,Public,ALMORA,,9756813713,dhauladeviphc@gmail.com,"Kheti Road, Chausala, Dhauladevi Town, Almora, Uttarakhand"
jeewan jyoti hospital almora,PrivateP,ALMORA,"Obstetrics & Gynaecology (S4) ,General Surgery (S1) ",9410784198,vinitajoshi1973@gmail.com,jeewan jyoti mall road near s.b.i almora 
Eye Q Vision Private Limited,PrivateP,ALMORA,Opthalmology                                                    (SE) ,8607434049,rohit.kumar@eyeqindia.com,"Latwal Bhawan, Karbala, Almora"
